epoch;time;train/box_loss;train/cls_loss;train/dfl_loss;metrics/precision(B);metrics/recall(B);metrics/mAP50(B);metrics/mAP50-95(B);val/box_loss;val/cls_loss;val/dfl_loss;lr/pg0;lr/pg1;lr/pg2
85;19750.4;0.62654;1.07971;0.94478;0.37387;0.32597;0.30654;0.26317;0.74732;3.76046;0.90051;0.001684;0.001684;0.001684
86;19979.8;0.62563;1.08382;0.94464;0.37315;0.32741;0.30735;0.26387;0.74707;3.75281;0.90078;0.001585;0.001585;0.001585
87;20208.1;0.62243;1.06425;0.94313;0.3735;0.32634;0.30799;0.26445;0.74712;3.73723;0.9009;0.001486;0.001486;0.001486
88;20435.8;0.6196;1.04602;0.94127;0.37559;0.32421;0.30785;0.26406;0.74692;3.71933;0.90092;0.001387;0.001387;0.001387
89;20663.4;0.61437;1.03097;0.93982;0.37139;0.3262;0.30921;0.26553;0.74636;3.69936;0.90074;0.001288;0.001288;0.001288
90;20892;0.61481;1.02459;0.94313;0.36975;0.32669;0.30919;0.26539;0.74586;3.68197;0.90046;0.001189;0.001189;0.001189
91;21122;0.61166;1.01465;0.9408;0.36885;0.3267;0.30902;0.26551;0.74609;3.67302;0.90072;0.00109;0.00109;0.00109
92;21350.3;0.61058;1.00586;0.93995;0.37814;0.32245;0.30971;0.26623;0.74613;3.65825;0.90075;0.000991;0.000991;0.000991
93;21580.1;0.60484;0.98855;0.93691;0.37585;0.32594;0.31024;0.26692;0.74551;3.6532;0.90055;0.000892;0.000892;0.000892
94;21809.7;0.60237;0.98395;0.93904;0.38235;0.32326;0.31051;0.26704;0.74518;3.64125;0.90059;0.000793;0.000793;0.000793
95;22039.1;0.60375;0.97606;0.93631;0.38202;0.31995;0.31053;0.26692;0.7452;3.63225;0.90063;0.000694;0.000694;0.000694
96;22268.3;0.59894;0.97346;0.93722;0.39814;0.31359;0.31102;0.26759;0.74476;3.62336;0.90044;0.000595;0.000595;0.000595
97;22498;0.5969;0.9592;0.93287;0.39735;0.31401;0.31096;0.26731;0.74473;3.61735;0.9005;0.000496;0.000496;0.000496
98;22727.1;0.59704;0.95469;0.93444;0.39817;0.31549;0.3104;0.26668;0.74459;3.61121;0.90055;0.000397;0.000397;0.000397
99;22956.8;0.5904;0.94488;0.93022;0.39559;0.31565;0.31008;0.26646;0.7443;3.60161;0.9004;0.000298;0.000298;0.000298
100;23186.6;0.59355;0.94481;0.93423;0.39172;0.31653;0.30828;0.265;0.74456;3.59546;0.9005;0.000199;0.000199;0.000199
